user_id,social_support,avoiding_strategies,positive_attitude,problem_orientation,transcendent_orientation
3334247770,40,21,33,35,14
3294886377,48,32,27,29,20
3487119790,36,26,29,27,16
3346121179,22,25,32,35,15
3703107268,36,22,27,28,18
3208909600,35,22,28,32,18
3317719173,27,34,19,16,15
3920062595,31,24,28,26,20
3337769377,24,30,33,31,19
3278582193,33,32,24,26,21
3703293103,45,18,30,33,18
3331208683,34,26,36,30,10
3444258212,34,25,30,30,17
3890065938,23,25,22,24,19
3469730627,45,26,28,39,19
3311128391,31,21,32,25,17
3270624644,36,22,30,31,18
3280632529,20,22,26,23,15
3313382094,44,24,34,35,17
3460591283,21,23,19,28,15
3809075395,37,34,34,27,18
3332440775,22,38,34,29,17
3398964382,23,17,31,29,15
3348106800,43,18,23,27,20
3469464166,37,25,26,29,20
3392465292,36,26,32,34,15
3335607912,45,24,21,23,20
3669301160,32,21,34,33,15
3314455802,32,21,24,30,20
3336846971,30,21,31,30,16
3296113480,31,25,31,24,16
3921981520,43,32,22,28,19
3334741408,29,31,24,20,18
3665355105,35,18,18,29,20
3420798804,46,34,30,23,17
3383061603,33,18,34,31,24
3662125608,30,17,25,44,24
3392736399,23,19,27,25,22
3493224825,22,21,32,33,14
3246292649,34,28,36,29,17
3665244090,28,30,33,34,20
3389126365,47,39,31,30,14
3938867612,21,23,37,22,19
3407230127,47,18,34,35,20
3895730674,37,31,25,27,25
3663738920,48,26,29,32,20
3888185906,46,22,33,28,21
3395927320,30,36,30,27,16
3491070201,39,20,27,29,20
3334297641,23,18,25,23,20
3925598264,23,25,24,22,20
3331478533,30,39,29,26,16
3888281971,37,27,39,33,15
3421895411,45,25,27,29,18
3467014707,33,26,32,34,20
3277379787,33,20,27,36,17
3920884364,40,22,27,26,17
3662258943,18,25,37,34,19
3311506647,34,28,32,20,18
3928102467,22,24,33,28,20
3348921243,14,16,16,19,20
3423315515,19,19,28,33,18
3475648095,38,25,26,25,19
3318207859,32,20,34,30,17
3394341908,31,25,25,29,17
3490815665,38,24,24,29,20
3271273161,26,19,31,30,20
3493727344,24,27,23,31,11
3492432569,27,23,30,26,18
3311815277,35,40,19,33,20
3662895706,45,38,27,33,18
3669722811,39,18,31,40,18
3806823362,34,17,26,28,20
3703258744,24,17,20,24,20
3385930632,34,32,18,19,20
3467474349,47,21,30,34,15
3668615349,37,19,33,28,19
3493200977,32,23,26,24,19
3779569933,38,20,22,20,19
3887744678,44,28,33,30,20
3383928947,31,21,33,36,18
3472369691,32,30,28,18,19
3663995281,33,23,27,27,20
3313450012,25,24,31,24,20
3349104292,40,19,36,34,12
3895555996,22,19,27,25,18
3883816051,45,25,30,36,18
3477588121,18,23,14,13,17
3421018235,25,23,34,34,13
3280004109,20,20,34,25,14
3289189898,24,27,23,23,20
3428948629,43,28,25,35,17
3458886355,38,23,39,31,14
3881466599,36,23,25,24,19
3463723465,28,27,24,31,24
3342410340,25,23,30,24,16
3808941373,36,21,34,25,19
3314389060,30,20,34,30,18
3494236417,24,19,31,32,16
3336861167,42,20,23,27,20
3339582765,22,18,21,38,20
3391467959,32,50,35,28,25
3891217212,18,28,19,13,10
3505065648,30,21,34,32,18
3921884140,33,22,30,27,15
3483400286,37,24,29,26,20
3313233935,28,19,29,28,17
3664300311,42,27,30,31,17
3347443867,47,20,30,33,17
3247822380,31,27,34,35,16
3319425650,36,17,29,40,20
3465959424,29,18,32,37,20
3459372766,45,21,25,33,20
3334364444,35,30,36,34,18
3423734900,48,28,34,38,13
3386008212,41,26,27,33,18
3487202110,33,34,35,37,15
3891205133,32,24,25,37,18
3921625402,22,30,21,19,14
3450660188,46,21,36,23,12
3405320767,24,23,27,28,18
34601046526,34,20,28,28,20
3285486203,32,22,30,30,16
3382353432,13,18,23,33,19
3398621330,44,22,30,33,16
3347076857,33,20,29,31,18
3493865607,36,25,30,32,15
3420547059,44,32,21,21,11
3339880271,28,21,36,35,25
3337222747,16,35,27,14,20
3896211241,21,17,27,27,18
3667000898,38,20,46,41,13
3391627654,44,23,25,20,19
3406882472,24,19,27,30,20
3338029881,32,19,30,31,14
3931636103,29,19,33,26,13
3426549445,28,26,31,36,17
3463775011,24,20,20,23,17
3807607123,47,28,38,33,13
3927302099,22,41,24,25,17
3771015565,35,17,25,31,22
3497824506,32,28,29,26,16
3279312977,26,22,25,29,17
3388996332,41,22,36,24,10
3272161067,36,28,23,19,20
3316198240,21,19,24,28,19
3358378894,35,32,28,23,18
3382881255,40,25,31,31,17
3453934331,22,31,21,23,12
3208693225,20,25,28,26,15
3703403724,39,28,37,35,16
3470115511,25,30,27,21,20
3401031360,35,24,24,29,20
3661166007,34,25,24,31,19
3920921922,40,17,34,33,16
3335443937,41,23,23,23,19
3312571418,20,17,24,29,20
4389943231,25,24,24,22,22
3492366988,17,26,35,26,24
3382161024,32,34,31,38,18
3347892623,32,23,31,32,18
3427335142,36,16,32,30,20
3421843835,25,24,33,33,18
3802426721,36,18,23,37,20
3451263546,33,17,24,25,20
3911072456,20,35,34,24,9
3274685227,29,26,35,27,20
3913468055,33,24,34,32,18
3426894007,28,38,27,29,21
3317606566,34,38,29,27,24
3459300091,23,17,21,26,20
3396144039,32,25,34,32,19
3662879175,31,22,32,30,20
3318419640,36,23,35,31,16
3387752052,33,18,29,29,16
3716383664,40,28,34,37,13
3396105812,32,23,29,27,18
3479146532,33,24,29,21,21
3703103013,29,33,29,17,14
3349010634,35,23,37,43,16
3661375646,23,23,33,33,13
3401961300,37,21,32,27,16
3283564346,42,43,27,26,15
3483232737,36,26,24,21,19
3772765464,31,36,30,31,20
3456115892,42,17,26,21,18
3428976733,33,27,24,23,18
3394466675,32,26,25,28,20
3311032316,23,30,25,24,16
3478294460,29,31,24,14,14
3395963552,29,29,29,34,20
3333672280,36,41,32,24,20
3664548042,32,18,28,26,19
3282753348,28,19,26,29,22
3420200692,37,27,28,35,17
3397350077,37,21,32,24,16
3483195353,23,28,18,14,17
3336930797,44,24,30,35,18
3317545421,41,23,25,22,28
3467559184,22,29,,25,21
3342177251,43,21,22,33,18
3334971564,36,24,27,22,20
3311919255,37,20,27,28,20
3489927284,38,19,32,40,17
3458983574,44,21,26,24,20
3337487200,42,19,41,33,15
3892305104,30,29,26,25,19
3341420106,40,31,28,28,22
3497763400,23,23,26,24,17
33783670400,15,22,22,20,24
3925461159,33,23,28,32,17
3401662999,45,23,30,28,16
3403943604,40,19,30,29,20
3806950650,18,17,24,25,20
3883746006,34,19,33,40,18
3473918493,36,19,29,27,20
3485956383,36,28,32,30,24
3401270582,22,26,32,29,14
3478840406,18,23,30,32,17
3920224683,42,26,26,32,17
3318067046,35,21,26,28,21
3387517461,33,29,25,42,19
3667272818,39,27,30,33,13
3339796982,31,31,34,39,8
3774219750,32,18,24,26,18
3402664341,37,17,24,32,19
3343693017,28,24,21,25,23
3427812776,31,20,24,29,15
3311514507,24,36,24,22,17
3663707404,37,24,25,29,13
3347117521,27,21,24,28,19
3314994466,16,24,27,27,16
3334542104,48,23,35,38,27
3452198846,25,22,24,23,18
3384230549,22,21,29,29,16
3935500366,32,18,36,36,16
3664904129,36,26,32,34,16
3333087407,33,18,26,27,18
3388833022,30,36,28,30,19
3486981778,39,30,27,34,15
3313224759,46,36,29,22,14
