user_id,nates_1,nates_2,nates_3,nates_4,nates_5,nates_6,nates_7
3334247770,4,4,4,5,5,4,4
3294886377,2,1,2,2,2,1,2
3487119790,3,2,2,3,2,2,2
3346121179,3,3,4,3,4,2,3
3703107268,2,3,1,1,2,3,2
3208909600,1,5,2,2,3,2,2
3317719173,4,4,5,3,2,2,1
3920062595,3,5,2,1,2,1,2
3337769377,1,1,1,1,1,2,1
3278582193,2,2,1,2,3,3,2
3703293103,2,2,2,4,4,2,3
3331208683,4,4,4,3,5,4,4
3444258212,4,3,3,3,1,4,4
3890065938,1,1,1,1,1,1,1
3469730627,3,1,3,3,1,2,2
3311128391,4,3,2,2,1,2,2
3270624644,1,3,3,3,1,5,5
3280632529,2,1,1,2,3,2,3
3313382094,1,4,1,1,4,1,2
3460591283,1,1,1,1,2,1,1
3809075395,4,4,3,3,4,3,4
3332440775,3,2,2,3,2,5,3
3398964382,5,5,5,3,5,3,3
3348106800,4,2,2,1,3,1,1
3469464166,2,4,2,4,4,3,4
3392465292,2,2,2,3,1,3,3
3335607912,1,2,1,1,2,1,1
3669301160,4,4,4,4,4,3,3
3314455802,2,1,2,2,3,2,1
3336846971,3,3,3,3,5,3,3
3296113480,2,2,3,4,2,2,3
3921981520,1,2,1,1,1,1,1
3334741408,4,5,3,4,5,5,5
3665355105,4,1,2,1,2,1,2
3420798804,2,4,2,2,3,1,1
3383061603,2,2,2,3,3,3,2
3662125608,1,2,1,1,1,1,1
3392736399,5,1,1,1,2,1,1
3493224825,5,3,3,5,5,5,5
3246292649,1,2,1,2,2,3,2
3665244090,2,2,2,1,4,3,3
3389126365,1,1,1,1,4,1,1
3938867612,1,3,2,1,1,4,2
3407230127,3,1,3,1,1,3,3
3895730674,3,3,1,1,1,1,3
3663738920,1,1,1,1,2,2,1
3888185906,3,3,1,1,5,1,1
3395927320,1,1,2,2,1,1,2
3491070201,3,3,2,2,3,3,2
3334297641,2,1,4,2,4,3,2
3925598264,1,1,1,1,2,2,1
3331478533,1,2,1,1,1,1,1
3888281971,3,5,3,3,4,3,3
3421895411,4,3,3,2,4,4,5
3467014707,1,1,1,1,2,1,1
3277379787,4,2,3,4,3,3,4
3920884364,2,4,3,4,4,3,3
3662258943,2,1,2,1,1,4,3
3311506647,2,4,2,2,4,4,2
3928102467,3,2,2,3,4,4,4
3348921243,3,1,3,1,1,3,1
3423315515,4,2,3,2,4,3,2
3475648095,3,4,3,3,2,3,3
3318207859,4,1,3,2,2,3,3
3394341908,2,3,2,3,3,2,2
3490815665,2,2,2,3,4,3,2
3271273161,2,2,2,3,3,4,3
3493727344,3,3,2,2,4,4,4
3492432569,1,1,1,1,1,1,1
3311815277,1,1,1,1,1,1,2
3662895706,3,2,1,1,3,1,2
3669722811,2,2,1,1,3,2,1
3806823362,3,3,4,4,3,4,4
3703258744,3,2,2,2,3,2,2
3385930632,1,2,2,3,3,1,1
3467474349,2,5,2,3,2,3,3
3668615349,4,4,4,3,4,3,3
3493200977,4,4,2,1,3,4,4
3779569933,2,1,2,1,1,2,1
3887744678,1,2,1,2,2,1,1
3383928947,3,1,3,1,3,3,3
3472369691,1,3,1,2,2,2,1
3663995281,4,4,4,3,2,4,4
3313450012,2,1,1,1,2,1,1
3349104292,2,4,2,2,2,3,3
3895555996,1,3,4,3,3,3,2
3883816051,2,1,1,3,2,2,1
3477588121,5,5,4,3,4,5,3
3421018235,1,1,2,1,1,2,1
3280004109,2,4,4,2,4,4,4
3289189898,3,1,2,4,5,3,2
3428948629,3,3,3,3,1,1,1
3458886355,5,5,3,5,3,1,1
3881466599,2,1,2,4,2,3,3
3463723465,1,1,1,1,1,1,1
3342410340,2,1,2,3,3,2,2
3808941373,4,3,4,2,4,4,4
3314389060,4,2,4,3,4,3,4
3494236417,4,3,4,4,4,4,4
3336861167,1,1,1,3,1,1,1
3339582765,4,2,3,2,2,2,2
3391467959,1,2,2,2,2,2,2
